movieId,title,genres
1,Movie 1 (2020),Action|Adventure|Sci-Fi
2,Movie 2 (2020),Action|Adventure|Sci-Fi
3,Movie 3 (2020),Action|Adventure|Sci-Fi
4,Movie 4 (2020),Action|Adventure|Sci-Fi
5,Movie 5 (2020),Action|Adventure|Sci-Fi
6,Movie 6 (2020),Action|Adventure|Sci-Fi
7,Movie 7 (2020),Action|Adventure|Sci-Fi
8,Movie 8 (2020),Action|Adventure|Sci-Fi
9,Movie 9 (2020),Action|Adventure|Sci-Fi
10,Movie 10 (2020),Action|Adventure|Sci-Fi
11,Movie 11 (2020),Action|Adventure|Sci-Fi
12,Movie 12 (2020),Action|Adventure|Sci-Fi
13,Movie 13 (2020),Action|Adventure|Sci-Fi
14,Movie 14 (2020),Action|Adventure|Sci-Fi
15,Movie 15 (2020),Action|Adventure|Sci-Fi
16,Movie 16 (2020),Action|Adventure|Sci-Fi
17,Movie 17 (2020),Action|Adventure|Sci-Fi
18,Movie 18 (2020),Action|Adventure|Sci-Fi
19,Movie 19 (2020),Action|Adventure|Sci-Fi
20,Movie 20 (2020),Action|Adventure|Sci-Fi
21,Movie 21 (2020),Action|Adventure|Sci-Fi
22,Movie 22 (2020),Action|Adventure|Sci-Fi
23,Movie 23 (2020),Action|Adventure|Sci-Fi
24,Movie 24 (2020),Action|Adventure|Sci-Fi
25,Movie 25 (2020),Action|Adventure|Sci-Fi
26,Movie 26 (2020),Action|Adventure|Sci-Fi
27,Movie 27 (2020),Action|Adventure|Sci-Fi
28,Movie 28 (2020),Action|Adventure|Sci-Fi
29,Movie 29 (2020),Action|Adventure|Sci-Fi
30,Movie 30 (2020),Action|Adventure|Sci-Fi
31,Movie 31 (2020),Action|Adventure|Sci-Fi
32,Movie 32 (2020),Action|Adventure|Sci-Fi
33,Movie 33 (2020),Action|Adventure|Sci-Fi
34,Movie 34 (2020),Action|Adventure|Sci-Fi
35,Movie 35 (2020),Action|Adventure|Sci-Fi
36,Movie 36 (2020),Action|Adventure|Sci-Fi
37,Movie 37 (2020),Action|Adventure|Sci-Fi
38,Movie 38 (2020),Action|Adventure|Sci-Fi
39,Movie 39 (2020),Action|Adventure|Sci-Fi
40,Movie 40 (2020),Action|Adventure|Sci-Fi
41,Movie 41 (2020),Action|Adventure|Sci-Fi
42,Movie 42 (2020),Action|Adventure|Sci-Fi
43,Movie 43 (2020),Action|Adventure|Sci-Fi
44,Movie 44 (2020),Action|Adventure|Sci-Fi
45,Movie 45 (2020),Action|Adventure|Sci-Fi
46,Movie 46 (2020),Action|Adventure|Sci-Fi
47,Movie 47 (2020),Action|Adventure|Sci-Fi
48,Movie 48 (2020),Action|Adventure|Sci-Fi
49,Movie 49 (2020),Action|Adventure|Sci-Fi
50,Movie 50 (2020),Action|Adventure|Sci-Fi
51,Movie 51 (2020),Action|Adventure|Sci-Fi
52,Movie 52 (2020),Action|Adventure|Sci-Fi
53,Movie 53 (2020),Action|Adventure|Sci-Fi
54,Movie 54 (2020),Action|Adventure|Sci-Fi
55,Movie 55 (2020),Action|Adventure|Sci-Fi
56,Movie 56 (2020),Action|Adventure|Sci-Fi
57,Movie 57 (2020),Action|Adventure|Sci-Fi
58,Movie 58 (2020),Action|Adventure|Sci-Fi
59,Movie 59 (2020),Action|Adventure|Sci-Fi
60,Movie 60 (2020),Action|Adventure|Sci-Fi
61,Movie 61 (2020),Action|Adventure|Sci-Fi
62,Movie 62 (2020),Action|Adventure|Sci-Fi
63,Movie 63 (2020),Action|Adventure|Sci-Fi
64,Movie 64 (2020),Action|Adventure|Sci-Fi
65,Movie 65 (2020),Action|Adventure|Sci-Fi
66,Movie 66 (2020),Action|Adventure|Sci-Fi
67,Movie 67 (2020),Action|Adventure|Sci-Fi
68,Movie 68 (2020),Action|Adventure|Sci-Fi
69,Movie 69 (2020),Action|Adventure|Sci-Fi
70,Movie 70 (2020),Action|Adventure|Sci-Fi
71,Movie 71 (2020),Action|Adventure|Sci-Fi
72,Movie 72 (2020),Action|Adventure|Sci-Fi
73,Movie 73 (2020),Action|Adventure|Sci-Fi
74,Movie 74 (2020),Action|Adventure|Sci-Fi
75,Movie 75 (2020),Action|Adventure|Sci-Fi
76,Movie 76 (2020),Action|Adventure|Sci-Fi
77,Movie 77 (2020),Action|Adventure|Sci-Fi
78,Movie 78 (2020),Action|Adventure|Sci-Fi
